Estimate,SE,dfcom,LCI,UCI,term,contrast
0.8574910197452301,0.011095396704645918,449202,0.8357440422041241,0.8792379972863361,I(o_diagnosedhtn >= 1)TRUE at sexMale=0,R2_sexMale
0.9945887145519889,0.013024065693631452,449202,0.9690615457924713,1.0201158833115065,I(o_diagnosedhtn >= 1)TRUE at sexMale=1,R2_sexMale
0.13709769480675882,0.011701598666147098,449202,0.1141625614211105,0.16003282819240713,Interaction of I(o_diagnosedhtn >= 1)TRUE:sexMale,R2_sexMale
-0.11524893465582328,0.009915881863695353,449202,-0.13468406310866618,-0.09581380620298038,I(o_undiagnosedhtn >= 1)TRUE at sexMale=0,R2_sexMale
-0.13163434462843596,0.013110539928776557,449202,-0.157331002888838,-0.10593768636803391,I(o_undiagnosedhtn >= 1)TRUE at sexMale=1,R2_sexMale
-0.01638540997261268,0.016378593159226348,449202,-0.048487452564696325,0.015716632619470962,Interaction of I(o_undiagnosedhtn >= 1)TRUE:sexMale,R2_sexMale
1.2909537556926807,0.017197108367966243,449198,1.2572474232914668,1.3246600880938946,I(o_diagnosedhtn >= 1)TRUE at age_category40-64=0,R3_age_category40-64
0.858168024231195,0.012296615255392643,449198,0.8340666583306254,0.8822693901317645,I(o_diagnosedhtn >= 1)TRUE at age_category40-64=1,R3_age_category40-64
-0.4327857314614857,0.01757464443549032,449198,-0.4672320345550467,-0.3983394283679247,Interaction of I(o_diagnosedhtn >= 1)TRUE:age_category40-64,R3_age_category40-64
1.2909537556926807,0.017197108367966243,449198,1.2572474232914668,1.3246600880938946,I(o_diagnosedhtn >= 1)TRUE at age_category65 plus=0,R3_age_category65 plus
0.6670267094454976,0.015307263088454199,449198,0.6370244737921273,0.6970289450988678,I(o_diagnosedhtn >= 1)TRUE at age_category65 plus=1,R3_age_category65 plus
-0.6239270462471831,0.0207710735260878,449198,-0.6646383503583152,-0.583215742136051,Interaction of I(o_diagnosedhtn >= 1)TRUE:age_category65 plus,R3_age_category65 plus
-0.3420639661118142,0.0181303731441737,449198,-0.3775994974743947,-0.30652843474923375,I(o_undiagnosedhtn >= 1)TRUE at age_category40-64=0,R3_age_category40-64
-0.05099319009932013,0.011152059777005957,449198,-0.07285122726225181,-0.029135152936388454,I(o_undiagnosedhtn >= 1)TRUE at age_category40-64=1,R3_age_category40-64
0.2910707760124941,0.021502194056148533,449198,0.24892647566244297,0.3332150763625452,Interaction of I(o_undiagnosedhtn >= 1)TRUE:age_category40-64,R3_age_category40-64
-0.3420639661118142,0.0181303731441737,449198,-0.3775994974743947,-0.30652843474923375,I(o_undiagnosedhtn >= 1)TRUE at age_category65 plus=0,R3_age_category65 plus
